Tabulated Kremer-Grest potential
Columns are R, F(r)/r and U(r)
Header reads: N_pts, r_min and r_max (r_max is also r_cutoff)
# 10000 0.500000 1.499900
0.548800 -210571.408724 5218.524946
0.548900 -210031.697705 5206.982564
0.549000 -209493.464190 5195.467667
0.549100 -208956.703871 5183.980182
0.549200 -208421.412453 5172.520041
0.549300 -207887.585656 5161.087174
0.549400 -207355.219211 5149.681511
0.549500 -206824.308864 5138.302983
0.549600 -206294.850373 5126.951520
0.549700 -205766.839510 5115.627053
0.549800 -205240.272060 5104.329513
0.549900 -204715.143819 5093.058832
0.550000 -204191.450600 5081.814942
0.550100 -203669.188226 5070.597773
0.550200 -203148.352532 5059.407258
0.550300 -202628.939370 5048.243328
0.550400 -202110.944600 5037.105917
0.550500 -201594.364097 5025.994955
0.550600 -201079.193751 5014.910377
0.550700 -200565.429460 5003.852115
0.550800 -200053.067138 4992.820101
0.550900 -199542.102711 4981.814269
0.551000 -199032.532117 4970.834552
0.551100 -198524.351307 4959.880884
0.551200 -198017.556243 4948.953198
0.551300 -197512.142903 4938.051428
0.551400 -197008.107273 4927.175509
0.551500 -196505.445354 4916.325374
0.551600 -196004.153160 4905.500958
0.551700 -195504.226715 4894.702196
0.551800 -195005.662056 4883.929022
0.551900 -194508.455234 4873.181371
0.552000 -194012.602309 4862.459179
0.552100 -193518.099356 4851.762380
0.552200 -193024.942461 4841.090910
0.552300 -192533.127721 4830.444705
0.552400 -192042.651247 4819.823701
0.552500 -191553.509160 4809.227833
0.552600 -191065.697595 4798.657038
0.552700 -190579.212696 4788.111252
0.552800 -190094.050623 4777.590412
0.552900 -189610.207543 4767.094454
0.553000 -189127.679639 4756.623315
0.553100 -188646.463103 4746.176933
0.553200 -188166.554140 4735.755243
0.553300 -187687.948966 4725.358185
0.553400 -187210.643810 4714.985695
0.553500 -186734.634910 4704.637711
0.553600 -186259.918517 4694.314171
0.553700 -185786.490895 4684.015013
0.553800 -185314.348317 4673.740175
0.553900 -184843.487069 4663.489596
0.554000 -184373.903448 4653.263213
0.554100 -183905.593761 4643.060967
0.554200 -183438.554329 4632.882795
0.554300 -182972.781482 4622.728638
0.554400 -182508.271562 4612.598433
0.554500 -182045.020923 4602.492121
0.554600 -181583.025929 4592.409640
0.554700 -181122.282956 4582.350931
0.554800 -180662.788390 4572.315934
0.554900 -180204.538629 4562.304588
0.555000 -179747.530082 4552.316834
0.555100 -179291.759169 4542.352612
0.555200 -178837.222321 4532.411863
0.555300 -178383.915978 4522.494527
0.555400 -177931.836595 4512.600546
0.555500 -177480.980635 4502.729859
0.555600 -177031.344570 4492.882409
0.555700 -176582.924888 4483.058136
0.555800 -176135.718083 4473.256982
0.555900 -175689.720662 4463.478889
0.556000 -175244.929143 4453.723799
0.556100 -174801.340052 4443.991653
0.556200 -174358.949929 4434.282394
0.556300 -173917.755323 4424.595964
0.556400 -173477.752793 4414.932305
0.556500 -173038.938909 4405.291359
0.556600 -172601.310252 4395.673071
0.556700 -172164.863413 4386.077382
0.556800 -171729.594993 4376.504235
0.556900 -171295.501604 4366.953574
0.557000 -170862.579868 4357.425342
0.557100 -170430.826419 4347.919482
0.557200 -170000.237897 4338.435939
0.557300 -169570.810957 4328.974656
0.557400 -169142.542261 4319.535577
0.557500 -168715.428483 4310.118645
0.557600 -168289.466307 4300.723806
0.557700 -167864.652425 4291.351004
0.557800 -167440.983542 4282.000183
0.557900 -167018.456372 4272.671288
0.558000 -166597.067637 4263.364264
0.558100 -166176.814072 4254.079055
0.558200 -165757.692420 4244.815608
0.558300 -165339.699436 4235.573866
0.558400 -164922.831881 4226.353777
0.558500 -164507.086531 4217.155285
0.558600 -164092.460167 4207.978335
0.558700 -163678.949583 4198.822875
0.558800 -163266.551581 4189.688849
0.558900 -162855.262974 4180.576205
0.559000 -162445.080584 4171.484888
0.559100 -162036.001242 4162.414845
0.559200 -161628.021790 4153.366022
0.559300 -161221.139080 4144.338367
0.559400 -160815.349970 4135.331826
0.559500 -160410.651333 4126.346346
0.559600 -160007.040046 4117.381874
0.559700 -159604.513000 4108.438358
0.559800 -159203.067092 4099.515745
0.559900 -158802.699232 4090.613982
0.560000 -158403.406335 4081.733019
0.560100 -158005.185329 4072.872801
0.560200 -157608.033149 4064.033278
0.560300 -157211.946742 4055.214397
0.560400 -156816.923061 4046.416107
0.560500 -156422.959071 4037.638356
0.560600 -156030.051744 4028.881093
0.560700 -155638.198062 4020.144267
0.560800 -155247.395018 4011.427826
0.560900 -154857.639611 4002.731719
0.561000 -154468.928851 3994.055896
0.561100 -154081.259756 3985.400305
0.561200 -153694.629355 3976.764897
0.561300 -153309.034683 3968.149620
0.561400 -152924.472787 3959.554424
0.561500 -152540.940721 3950.979260
0.561600 -152158.435548 3942.424077
0.561700 -151776.954342 3933.888825
0.561800 -151396.494182 3925.373454
0.561900 -151017.052159 3916.877915
0.562000 -150638.625373 3908.402157
0.562100 -150261.210930 3899.946133
0.562200 -149884.805947 3891.509792
0.562300 -149509.407549 3883.093085
0.562400 -149135.012870 3874.695964
0.562500 -148761.619053 3866.318379
0.562600 -148389.223248 3857.960282
0.562700 -148017.822615 3849.621624
0.562800 -147647.414322 3841.302356
0.562900 -147277.995547 3833.002431
0.563000 -146909.563474 3824.721800
0.563100 -146542.115297 3816.460414
0.563200 -146175.648220 3808.218226
0.563300 -145810.159452 3799.995189
0.563400 -145445.646212 3791.791254
0.563500 -145082.105729 3783.606374
0.563600 -144719.535238 3775.440501
0.563700 -144357.931983 3767.293588
0.563800 -143997.293218 3759.165587
0.563900 -143637.616202 3751.056453
0.564000 -143278.898206 3742.966137
0.564100 -142921.136505 3734.894593
0.564200 -142564.328387 3726.841774
0.564300 -142208.471144 3718.807634
0.564400 -141853.562079 3710.792126
0.564500 -141499.598502 3702.795204
0.564600 -141146.577730 3694.816822
0.564700 -140794.497090 3686.856933
0.564800 -140443.353915 3678.915491
0.564900 -140093.145550 3670.992451
0.565000 -139743.869343 3663.087768
0.565100 -139395.522652 3655.201394
0.565200 -139048.102845 3647.333286
0.565300 -138701.607294 3639.483397
0.565400 -138356.033383 3631.651682
0.565500 -138011.378501 3623.838096
0.565600 -137667.640045 3616.042595
0.565700 -137324.815421 3608.265133
0.565800 -136982.902043 3600.505665
0.565900 -136641.897331 3592.764148
0.566000 -136301.798715 3585.040535
0.566100 -135962.603631 3577.334784
0.566200 -135624.309523 3569.646849
0.566300 -135286.913843 3561.976687
0.566400 -134950.414051 3554.324254
0.566500 -134614.807613 3546.689504
0.566600 -134280.092006 3539.072396
0.566700 -133946.264711 3531.472884
0.566800 -133613.323217 3523.890926
0.566900 -133281.265023 3516.326478
0.567000 -132950.087634 3508.779496
0.567100 -132619.788562 3501.249938
0.567200 -132290.365326 3493.737760
0.567300 -131961.815455 3486.242919
0.567400 -131634.136482 3478.765372
0.567500 -131307.325951 3471.305077
0.567600 -130981.381410 3463.861991
0.567700 -130656.300416 3456.436071
0.567800 -130332.080534 3449.027275
0.567900 -130008.719335 3441.635560
0.568000 -129686.214397 3434.260884
0.568100 -129364.563307 3426.903206
0.568200 -129043.763658 3419.562483
0.568300 -128723.813050 3412.238673
0.568400 -128404.709091 3404.931734
0.568500 -128086.449395 3397.641625
0.568600 -127769.031584 3390.368305
0.568700 -127452.453288 3383.111731
0.568800 -127136.712142 3375.871863
0.568900 -126821.805789 3368.648659
0.569000 -126507.731880 3361.442078
0.569100 -126194.488072 3354.252079
0.569200 -125882.072028 3347.078621
0.569300 -125570.481421 3339.921664
0.569400 -125259.713927 3332.781166
0.569500 -124949.767233 3325.657087
0.569600 -124640.639030 3318.549387
0.569700 -124332.327016 3311.458026
0.569800 -124024.828899 3304.382962
0.569900 -123718.142389 3297.324156
0.570000 -123412.265207 3290.281568
0.570100 -123107.195079 3283.255158
0.570200 -122802.929737 3276.244886
0.570300 -122499.466921 3269.250712
0.570400 -122196.804379 3262.272597
0.570500 -121894.939862 3255.310500
0.570600 -121593.871131 3248.364384
0.570700 -121293.595953 3241.434208
0.570800 -120994.112099 3234.519933
0.570900 -120695.417352 3227.621520
0.571000 -120397.509496 3220.738930
0.571100 -120100.386324 3213.872124
0.571200 -119804.045637 3207.021064
0.571300 -119508.485241 3200.185710
0.571400 -119213.702947 3193.366025
0.571500 -118919.696576 3186.561968
0.571600 -118626.463953 3179.773503
0.571700 -118334.002910 3173.000591
0.571800 -118042.311286 3166.243193
0.571900 -117751.386925 3159.501272
0.572000 -117461.227679 3152.774790
0.572100 -117171.831406 3146.063708
0.572200 -116883.195970 3139.367989
0.572300 -116595.319242 3132.687595
0.572400 -116308.199097 3126.022489
0.572500 -116021.833421 3119.372632
0.572600 -115736.220101 3112.737989
0.572700 -115451.357034 3106.118520
0.572800 -115167.242121 3099.514190
0.572900 -114883.873270 3092.924961
0.573000 -114601.248397 3086.350796
0.573100 -114319.365421 3079.791658
0.573200 -114038.222270 3073.247510
0.573300 -113757.816875 3066.718316
0.573400 -113478.147177 3060.204039
0.573500 -113199.211120 3053.704642
0.573600 -112921.006656 3047.220089
0.573700 -112643.531741 3040.750344
0.573800 -112366.784339 3034.295371
0.573900 -112090.762419 3027.855132
0.574000 -111815.463958 3021.429593
0.574100 -111540.886935 3015.018717
0.574200 -111267.029339 3008.622468
0.574300 -110993.889163 3002.240811
0.574400 -110721.464406 2995.873710
0.574500 -110449.753073 2989.521129
0.574600 -110178.753175 2983.183034
0.574700 -109908.462730 2976.859387
0.574800 -109638.879759 2970.550155
0.574900 -109370.002293 2964.255302
0.575000 -109101.828365 2957.974792
0.575100 -108834.356015 2951.708591
0.575200 -108567.583290 2945.456664
0.575300 -108301.508242 2939.218976
0.575400 -108036.128927 2932.995493
